,pursuer,victim,coefficient
361,AE5197ET,AE4553HK,0.125
362,AE0172,AEO17,0.125
363,AE4098EB,AP2868CI,0.125
364,AE9344HX,AE5351AA,0.125
365,AE9344HX,AE8425KB,0.125
366,KFL458,AE3497HK,0.125
367,AA1742TI,AA8558TE,0.125
368,AP8290EB,AE0152EO,0.125
369,AE1897KC,AE0152EO,0.125
370,AE0108BE,JGH393,0.125
371,AX6343BB,AE3192KC,0.125
372,AE9997EB,AE1151AX,0.125
373,AE2113AC,AE1151AX,0.125
374,AE7140HT,AE9118EA,0.125
375,AE3192KC,AX6343BB,0.125
376,AE5676HB,AX6343BB,0.125
377,LZA43180,AX6343BB,0.125
378,AP8290EB,AX7865EP,0.12121212121212122
379,AE1897KC,AX7865EP,0.12121212121212122
380,AE4098EB,AE9284KB,0.12121212121212122
381,JCA506,AE5111CT,0.12121212121212122
382,AA4346TE,AE9967KB,0.12121212121212122
383,AE2164KO,AE9967KB,0.12121212121212122
384,AE2219EO,JNC208,0.1206896551724138
385,AE0172,AE017AX,0.12046632124352331
386,AE8277,AE7055BO,0.12
387,AX6343BB,AE5676HB,0.12
388,LZA43180,AE5676HB,0.12
389,AE3017AP,AE7111AM,0.12
390,AE0880CT,AE5230AH,0.12
391,AE1073IH,AE0110EB,0.11764705882352941
392,AE8412CO,AE0110EB,0.11764705882352941
393,AE0666CK,AE0110EB,0.11764705882352941
394,AP2868CI,AE4098EB,0.11764705882352941
395,AE9284KB,AE4098EB,0.11764705882352941
396,AE7113EB,72907AB,0.11764705882352941
397,AE8274EE,00434AI,0.11666666666666667
398,EO172AX,EO172,0.11538461538461539
399,JNC208,AE2219EO,0.11475409836065574
400,AE017AX,AEO02,0.11428571428571428
401,AE8300CO,AE8638EE,0.11428571428571428
402,AE9636EO,BS883GF,0.11428571428571428
403,AE6170BC,BS883GF,0.11428571428571428
404,AE0577CE,AE4911AX,0.11428571428571428
405,06499AB,AE4911AX,0.11428571428571428
406,AE8955CT,AE4911AX,0.11428571428571428
407,AP8303BO,45130AE,0.1111111111111111
408,AE7140HT,AE0078BC,0.1111111111111111
409,AE8453CK,AA2197PA,0.1111111111111111
410,AE9472EI,AE4136HI,0.1111111111111111
411,00434AI,AE2656IH,0.1111111111111111
412,AE8274EE,AE2656IH,0.1111111111111111
413,AE0577CE,06499AB,0.1111111111111111
414,AE4911AX,06499AB,0.1111111111111111
415,AE8955CT,06499AB,0.1111111111111111
416,AP1748EB,AE0076BT,0.1111111111111111
417,AE1174IK,AE2800HI,0.1111111111111111
418,AE9961CX,JHK317,0.10869565217391304
419,AE7251KC,AE7819AA,0.10869565217391304
420,AE8638EE,AE8300CO,0.10810810810810811
421,AE2800HI,AE1174IK,0.10810810810810811
422,AE9178HI,AE5829CE,0.10752688172043011
423,AE8894ET,AA8652XA,0.10714285714285714
424,AE9961CX,AE4445HO,0.10638297872340426
425,AE7417AK,AE7765AT,0.10526315789473684
426,AE9981CI,AE7765AT,0.10526315789473684
427,AE0422CP,AE7765AT,0.10526315789473684
428,AE9472EI,AX9758BA,0.10526315789473684
429,BOT971,AE1548HT,0.10526315789473684
430,AE0090IH,AE1548HT,0.10526315789473684
431,AE0180AX,AE0039AE,0.10526315789473684
432,AE6700IH,AE0039AE,0.10526315789473684
433,AE5611IO,AE6170BC,0.10526315789473684
434,AE9636EO,AE6170BC,0.10526315789473684
